uid;lat;lng;Standort;spot;Stationsnummer;Anzahl verfügbare Fahrräder;Gebuchte Fahrräder;Fahrradstellplätze;Freie Stellplätze;terminal_type;Fahrradnummern;bike_types;place_type;rack_locks;bike;free_special_racks;maintenance;GeoPoint
121376;49.47708970090613;8.463613986968994;Lindenhof - Jugendherberge;1;2526;2;0;6;4;7inch;43189,430393;"{""14"":1,""71"":1}";0;1;"[{""@number"": ""43189"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@boardcomputer"": ""7551028130"", ""@number"": ""430393"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.4770897009,8.46361398697
339343;49.49712049632733;8.473017811775208;Neckarstadt - Alter Messplatz;1;2500;5;0;9;5;7inch;43275,43710,44352,430285,430255;"{""14"":3,""71"":2}";0;1;"[{""@number"": ""43275"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43710"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""44352"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@boardcomputer"": ""7551028327"", ""@number"": ""430285"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025952"", ""@number"": ""430255"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";5;;49.4971204963,8.47301781178
339346;49.49726334486746;8.483832478523254;Neckarstadt-Ost - Lange Rötterstraße;1;2501;0;0;6;6;7inch;;;0;1;;;;49.4972633449,8.48383247852
339462;49.48976149051455;8.46843659877777;R1 - Marktplatz;1;2510;10;0;11;1;7inch;43145,43742,430294,430279,430228,430215,430181,430163,430101,430055;"{""14"":2,""71"":8}";0;1;"[{""@number"": ""43145"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43742"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@boardcomputer"": ""7551028856"", ""@number"": ""430294"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551028808"", ""@number"": ""430279"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025126"", ""@number"": ""430228"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029281"", ""@number"": ""430215"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029285"", ""@number"": ""430181"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025202"", ""@number"": ""430163"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025884"", ""@number"": ""430101"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025868"", ""@number"": ""430055"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.4897614905,8.46843659878
339464;49.48901228724853;8.462997078895569;E4 - Rathaus;1;2512;1;0;8;7;7inch;43653;"{""14"":1}";0;1;"{""@number"": ""43653"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}";7;;49.4890122872,8.4629970789
339466;49.491183202861805;8.462390899658201;G7 - Westliche Unterstadt;1;2514;3;0;6;3;7inch;43846,44373;"{""14"":2,""71"":1}";0;1;"[{""@number"": ""43846"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""44373"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}]";3;;49.4911832029,8.46239089966
339468;49.484576072048014;8.459858894348145;Universität Mensa;1;2515;3;0;10;7;7inch;43074,43896,430377;"{""14"":2,""71"":1}";0;1;"[{""@number"": ""43074"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43896"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@boardcomputer"": ""7551027730"", ""@number"": ""430377"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.484576072,8.45985889435
339472;49.48693536615354;8.45845878124237;A5 - Universität West;1;2516;0;0;8;8;7inch;;;0;1;;8;;49.4869353662,8.45845878124
339473;49.484600467103455;8.46346378326416;L1 - Schloss;1;2517;9;0;10;6;7inch;43177,43098,43330,43572,43561,43764,44302,43836,430211;"{""14"":8,""71"":1}";0;1;"[{""@number"": ""43177"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43098"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43330"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43572"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43561"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43764"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""44302"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""43836"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@boardcomputer"": ""7551028094"", ""@number"": ""430211"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";6;;49.4846004671,8.46346378326
339475;49.4801150575877;8.47071647644043;Hauptbahnhof Mannheim;1;2518;7;0;20;13;7inch;43194,43315,43612,44288,44282,44310,430151;"{""14"":6,""71"":1}";0;1;"[{""@number"": ""43194"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43315"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43612"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""44288"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""44282"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""44310"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@boardcomputer"": ""7551029321"", ""@number"": ""430151"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";13;;49.4801150576,8.47071647644
339476;49.49344810047718;8.4589684009552;Jungbusch - Jungbuschstraße;1;2519;2;0;6;4;7inch;430396,430218;"{""71"":2}";0;1;"[{""@boardcomputer"": ""7551028680"", ""@number"": ""430396"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029282"", ""@number"": ""430218"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.4934481005,8.45896840096
339478;49.47026104885746;8.482255339622498;Hochschule Mannheim;1;2520;12;0;10;0;7inch;43041,43240,43782,43670,44295,44081,44218,43856,430382,430315,430272,430096;"{""14"":8,""71"":4}";0;1;"[{""@number"": ""43041"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43240"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""43782"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43670"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""44295"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""44081"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""44218"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""43856"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@boardcomputer"": ""7551027733"", ""@number"": ""430382"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551028902"", ""@number"": ""430315"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551028313"", ""@number"": ""430272"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551031027"", ""@number"": ""430096"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.4702610489,8.48225533962
339481;49.47950163631595;8.495221138000488;Oststadt - Luisenpark;1;2521;14;0;8;0;7inch;43060,43015,43228,44229,430372,430320,430305,430264,430233,430225,430106,430077,430039,430002;"{""14"":4,""71"":10}";0;1;"[{""@number"": ""43060"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""43015"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43228"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""44229"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@boardcomputer"": ""7551029328"", ""@number"": ""430372"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551027131"", ""@number"": ""430320"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551028853"", ""@number"": ""430305"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025132"", ""@number"": ""430264"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029166"", ""@number"": ""430233"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029142"", ""@number"": ""430225"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551027641"", ""@number"": ""430106"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025861"", ""@number"": ""430077"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029325"", ""@number"": ""430039"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029344"", ""@number"": ""430002"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.4795016363,8.495221138
660937;49.47723609343557;8.467572927474974;Lindenhof - Lindenhofplatz;1;2529;3;0;10;6;7inch;430391,430098,430042;"{""71"":3}";0;1;"[{""@boardcomputer"": ""7551028478"", ""@number"": ""430391"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025886"", ""@number"": ""430098"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551030556"", ""@number"": ""430042"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";5;;49.4772360934,8.46757292747
660983;49.50221052482069;8.465255498886108;Neckarstadt-West - Riedfeldstraße;1;2537;3;0;6;3;7inch;43760,430383,430097;"{""14"":1,""71"":2}";0;1;"[{""@number"": ""43760"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@boardcomputer"": ""7551028060"", ""@number"": ""430383"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551030105"", ""@number"": ""430097"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.5022105248,8.46525549889
1557693;49.47365;8.46642;Lindenhof - Johanniskirche;1;2528;0;0;6;6;7inch;;;0;1;;6;;49.47365,8.46642
4726808;49.47347157505979;8.533989787101746;DHBW Mannheim - Campus Coblitzallee;1;2546;5;0;10;5;7inch;43260,43749,44010,43683,430265;"{""14"":4,""71"":1}";0;1;"[{""@number"": ""43260"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43749"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""44010"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""43683"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@boardcomputer"": ""7551025092"", ""@number"": ""430265"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.4734715751,8.5339897871
7853258;49.492344;8.482906;Universitätsklinik Mannheim - CampusRad;1;2600;6;0;4;0;free;43321,43276,43242,43230,44407,430111;"{""14"":5,""71"":1}";0;;"[{""@number"": ""43321"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43276"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""43242"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@number"": ""43230"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock,rack_adapter"", ""@active"": ""1""}, {""@number"": ""44407"", ""@pedelec_battery"": """", ""@bike_type"": ""14"", ""@state"": ""ok"", ""@lock_types"": ""analog_code_lock"", ""@active"": ""1""}, {""@boardcomputer"": ""7551027601"", ""@number"": ""430111"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.492344,8.482906
339352;49.4972250196903;8.457750678062439;Jungbusch - Popakademie;1;2504;4;0;8;4;7inch;430362,430252,430245,430205;"{""71"":4}";0;1;"[{""@boardcomputer"": ""7551028797"", ""@number"": ""430362"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551028688"", ""@number"": ""430252"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025904"", ""@number"": ""430245"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029149"", ""@number"": ""430205"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.4972250197,8.45775067806
339456;49.49068491132233;8.47570538520813;Gewerkschaftshaus;1;2506;3;0;8;5;7inch;430387,430365,430134;"{""71"":3}";0;1;"[{""@boardcomputer"": ""7551028068"", ""@number"": ""430387"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029216"", ""@number"": ""430365"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551029179"", ""@number"": ""430134"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;1;49.4906849113,8.47570538521
339457;49.4895593809954;8.480297327041626;Theresienkrankenhaus;1;2507;2;0;6;4;7inch;42898,430308;"{""71"":2}";0;1;"[{""@boardcomputer"": ""7551006500"", ""@number"": ""42898"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}, {""@boardcomputer"": ""7551025170"", ""@number"": ""430308"", ""@pedelec_battery"": """", ""@bike_type"": ""71"", ""@state"": ""ok"", ""@lock_types"": ""frame_lock"", ""@active"": ""1"", ""@electric_lock"": ""1""}]";;;49.489559381,8.48029732704
339459;49.48793899003323;8.478741645812988;Nationaltheater;1;2508;0;0;8;8;7inch;;;0;1;;8;;49.48793899,8.47874164581
339461;49.48535670779378;8.476649522781372;Kongresszentrum Rosengarten;1;2509;0;0;12;12;7inch;;;0;1;;;;49.4853567078,8.47664952278
